,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0.0,0,0.0,1.0,0.0,20.0,20.0,0.0,False,Feb,1,1,1,1,Returning_Visitor,False,False
1,0,0.0,0,0.0,2.0,64.0,0.0,10.0,0.0,False,Feb,2,2,1,2,Returning_Visitor,False,False
2,0,0.0,0,0.0,1.0,0.0,20.0,20.0,0.0,False,Feb,4,1,9,3,Returning_Visitor,False,False
3,0,0.0,0,0.0,2.0,2.666666667,5.0,14.000000000000002,0.0,False,Feb,3,2,2,4,Returning_Visitor,False,False
4,0,0.0,0,0.0,10.0,627.5,2.0,5.0,0.0,False,Feb,3,3,1,4,Returning_Visitor,True,False
5,0,0.0,0,0.0,19.0,154.2166667,1.5789474000000001,2.4561404,0.0,False,Feb,2,2,1,3,Returning_Visitor,False,False
6,0,0.0,0,0.0,1.0,0.0,20.0,20.0,0.0,True,Feb,2,4,3,3,Returning_Visitor,False,False
7,1,0.0,0,0.0,0.0,0.0,20.0,20.0,0.0,False,Feb,1,2,1,5,Returning_Visitor,True,False
8,0,0.0,0,0.0,2.0,37.0,0.0,10.0,0.0,True,Feb,2,2,2,3,Returning_Visitor,False,False
9,0,0.0,0,0.0,3.0,738.0,0.0,2.2222222,0.0,True,Feb,2,4,1,2,Returning_Visitor,False,False
10,0,0.0,0,0.0,3.0,395.0,0.0,6.6666666999999995,0.0,False,Feb,1,1,3,3,Returning_Visitor,False,False
11,0,0.0,0,0.0,16.0,407.75,1.875,2.5833333,0.0,True,Feb,1,1,4,3,Returning_Visitor,False,False
12,0,0.0,0,0.0,7.0,280.5,0.0,2.8571429,0.0,False,Feb,1,1,1,3,Returning_Visitor,False,False
13,0,0.0,0,0.0,6.0,98.0,0.0,6.6666666999999995,0.0,False,Feb,2,5,1,3,Returning_Visitor,False,False
14,0,0.0,0,0.0,2.0,68.0,0.0,10.0,0.0,False,Feb,3,2,3,3,Returning_Visitor,False,False
15,2,53.0,0,0.0,23.0,1668.285119,0.8333333,1.6312635999999998,0.0,False,Feb,1,1,9,3,Returning_Visitor,False,False
16,0,0.0,0,0.0,1.0,0.0,20.0,20.0,0.0,False,Feb,1,1,4,3,Returning_Visitor,False,False
17,0,0.0,0,0.0,13.0,334.9666667,0.0,0.7692308,0.0,False,Feb,1,1,1,4,Returning_Visitor,True,False
18,0,0.0,0,0.0,2.0,32.0,0.0,10.0,0.0,False,Feb,2,2,1,3,Returning_Visitor,False,False
19,0,0.0,0,0.0,20.0,2981.166667,0.0,1.0,0.0,False,Feb,2,4,4,4,Returning_Visitor,False,False
20,0,0.0,0,0.0,8.0,136.1666667,0.0,0.8333333,0.0,True,Feb,2,2,5,1,Returning_Visitor,True,False
21,0,0.0,0,0.0,2.0,0.0,20.0,20.0,0.0,False,Feb,3,3,1,3,Returning_Visitor,False,False
22,0,0.0,0,0.0,3.0,105.0,0.0,3.3333333,0.0,False,Feb,3,2,1,5,Returning_Visitor,False,False
23,0,0.0,0,0.0,2.0,15.0,0.0,10.0,0.0,True,Feb,2,4,1,3,Returning_Visitor,False,False
24,0,0.0,0,0.0,1.0,0.0,20.0,20.0,0.0,False,Feb,2,2,4,1,Returning_Visitor,True,False
25,0,0.0,0,0.0,5.0,156.0,0.0,4.0,0.0,False,Feb,1,1,9,3,Returning_Visitor,False,False
26,4,64.6,0,0.0,32.0,1135.444444,0.2857143,0.952381,0.0,False,Feb,2,2,1,3,Returning_Visitor,False,False
27,0,0.0,0,0.0,4.0,76.0,5.0,10.0,0.0,False,Feb,1,1,1,3,Returning_Visitor,False,False
28,0,0.0,0,0.0,4.0,63.0,0.0,5.0,0.0,True,Feb,2,6,1,3,Returning_Visitor,False,False
29,1,6.0,1,0.0,45.0,1582.75,4.3478261,5.0821256,54.17976426,True,Feb,3,2,1,1,Returning_Visitor,False,False
